prompt_id,category,n_pairs,mean_ngram,mean_ast,mean_naming,import_match_rate
AL-01,Algorithm,21,0.197,0.401,0.288,0.429
AL-02,Algorithm,21,0.307,0.413,0.327,0.333
AL-03,Algorithm,21,0.192,0.420,0.233,1.000
AL-04,Algorithm,21,0.182,0.334,0.219,0.190
AL-05,Algorithm,21,0.203,0.442,0.297,1.000
CT-01,Creative Tool,21,0.161,0.184,0.170,0.476
CT-02,Creative Tool,21,0.168,0.192,0.184,0.476
CT-03,Creative Tool,21,0.161,0.189,0.174,0.476
CT-04,Creative Tool,21,0.158,0.325,0.162,0.286
CT-05,Creative Tool,21,0.176,0.267,0.185,0.286
NM-01,Naming,21,0.225,0.368,0.285,0.190
NM-02,Naming,21,0.171,0.255,0.187,0.286
NM-03,Naming,21,0.199,0.388,0.243,0.190
NM-04,Naming,21,0.181,0.343,0.214,0.143
NM-05,Naming,21,0.170,0.192,0.188,0.476
OD-01,Open Design,21,0.208,0.376,0.277,0.286
OD-02,Open Design,21,0.181,0.273,0.213,0.286
OD-03,Open Design,21,0.184,0.257,0.209,0.429
OD-04,Open Design,21,0.171,0.143,0.205,1.000
OD-05,Open Design,21,0.192,0.344,0.234,0.190
RF-01,Refactor,21,0.240,0.416,0.232,0.714
RF-02,Refactor,21,0.242,0.143,0.310,1.000
RF-03,Refactor,21,0.239,0.400,0.314,0.429
RF-04,Refactor,21,0.175,0.391,0.244,0.190
RF-05,Refactor,21,0.181,0.341,0.223,0.476
SD-01,System Design,21,0.163,0.183,0.172,0.476
SD-02,System Design,21,0.166,0.186,0.176,0.476
SD-03,System Design,21,0.180,0.189,0.190,0.476
SD-04,System Design,21,0.173,0.260,0.189,0.286
SD-05,System Design,21,0.178,0.270,0.207,0.286