prompt_id,model_a,model_b,exact_match,any_overlap,overlap_cwes
AL-01,Claude 3.5 Haiku,Claude Sonnet 4,False,False,
AL-01,Claude 3.5 Haiku,GPT-4o,False,False,
AL-01,Claude 3.5 Haiku,GPT-4o-mini,False,False,
AL-01,Claude 3.5 Haiku,Gemini 2.5 Flash,False,False,
AL-01,Claude 3.5 Haiku,Gemini 2.5 Pro,False,False,
AL-01,Claude 3.5 Haiku,o3-mini,False,False,
AL-01,Claude Sonnet 4,GPT-4o,False,False,
AL-01,Claude Sonnet 4,GPT-4o-mini,False,False,
AL-01,Claude Sonnet 4,Gemini 2.5 Flash,False,False,
AL-01,Claude Sonnet 4,Gemini 2.5 Pro,False,False,
AL-01,Claude Sonnet 4,o3-mini,False,False,
AL-01,GPT-4o,GPT-4o-mini,False,False,
AL-01,GPT-4o,Gemini 2.5 Flash,False,False,
AL-01,GPT-4o,Gemini 2.5 Pro,False,False,
AL-01,GPT-4o,o3-mini,False,False,
AL-01,GPT-4o-mini,Gemini 2.5 Flash,False,False,
AL-01,GPT-4o-mini,Gemini 2.5 Pro,False,False,
AL-01,GPT-4o-mini,o3-mini,False,False,
AL-01,Gemini 2.5 Flash,Gemini 2.5 Pro,False,False,
AL-01,Gemini 2.5 Flash,o3-mini,False,False,
AL-01,Gemini 2.5 Pro,o3-mini,False,False,
AL-02,Claude 3.5 Haiku,Claude Sonnet 4,False,False,
AL-02,Claude 3.5 Haiku,GPT-4o,False,False,
AL-02,Claude 3.5 Haiku,GPT-4o-mini,False,False,
AL-02,Claude 3.5 Haiku,Gemini 2.5 Flash,False,False,
AL-02,Claude 3.5 Haiku,Gemini 2.5 Pro,False,False,
AL-02,Claude 3.5 Haiku,o3-mini,False,False,
AL-02,Claude Sonnet 4,GPT-4o,False,False,
AL-02,Claude Sonnet 4,GPT-4o-mini,False,False,
AL-02,Claude Sonnet 4,Gemini 2.5 Flash,False,False,
AL-02,Claude Sonnet 4,Gemini 2.5 Pro,False,False,
AL-02,Claude Sonnet 4,o3-mini,False,False,
AL-02,GPT-4o,GPT-4o-mini,False,False,
AL-02,GPT-4o,Gemini 2.5 Flash,False,False,
AL-02,GPT-4o,Gemini 2.5 Pro,False,False,
AL-02,GPT-4o,o3-mini,False,False,
AL-02,GPT-4o-mini,Gemini 2.5 Flash,False,False,
AL-02,GPT-4o-mini,Gemini 2.5 Pro,False,False,
AL-02,GPT-4o-mini,o3-mini,False,False,
AL-02,Gemini 2.5 Flash,Gemini 2.5 Pro,False,False,
AL-02,Gemini 2.5 Flash,o3-mini,False,False,
AL-02,Gemini 2.5 Pro,o3-mini,False,False,
AL-03,Claude 3.5 Haiku,Claude Sonnet 4,False,False,
AL-03,Claude 3.5 Haiku,GPT-4o,False,False,
AL-03,Claude 3.5 Haiku,GPT-4o-mini,False,False,
AL-03,Claude 3.5 Haiku,Gemini 2.5 Flash,False,False,
AL-03,Claude 3.5 Haiku,Gemini 2.5 Pro,False,False,
AL-03,Claude 3.5 Haiku,o3-mini,False,False,
AL-03,Claude Sonnet 4,GPT-4o,False,False,
AL-03,Claude Sonnet 4,GPT-4o-mini,False,False,
AL-03,Claude Sonnet 4,Gemini 2.5 Flash,False,False,
AL-03,Claude Sonnet 4,Gemini 2.5 Pro,False,False,
AL-03,Claude Sonnet 4,o3-mini,False,False,
AL-03,GPT-4o,GPT-4o-mini,False,False,
AL-03,GPT-4o,Gemini 2.5 Flash,False,False,
AL-03,GPT-4o,Gemini 2.5 Pro,False,False,
AL-03,GPT-4o,o3-mini,False,False,
AL-03,GPT-4o-mini,Gemini 2.5 Flash,False,False,
AL-03,GPT-4o-mini,Gemini 2.5 Pro,False,False,
AL-03,GPT-4o-mini,o3-mini,False,False,
AL-03,Gemini 2.5 Flash,Gemini 2.5 Pro,False,False,
AL-03,Gemini 2.5 Flash,o3-mini,False,False,
AL-03,Gemini 2.5 Pro,o3-mini,False,False,
AL-04,Claude 3.5 Haiku,Claude Sonnet 4,False,False,
AL-04,Claude 3.5 Haiku,GPT-4o,False,False,
AL-04,Claude 3.5 Haiku,GPT-4o-mini,False,False,
AL-04,Claude 3.5 Haiku,Gemini 2.5 Flash,False,False,
AL-04,Claude 3.5 Haiku,Gemini 2.5 Pro,False,False,
AL-04,Claude 3.5 Haiku,o3-mini,False,False,
AL-04,Claude Sonnet 4,GPT-4o,False,False,
AL-04,Claude Sonnet 4,GPT-4o-mini,False,False,
AL-04,Claude Sonnet 4,Gemini 2.5 Flash,False,False,
AL-04,Claude Sonnet 4,Gemini 2.5 Pro,False,False,
AL-04,Claude Sonnet 4,o3-mini,False,False,
AL-04,GPT-4o,GPT-4o-mini,False,False,
AL-04,GPT-4o,Gemini 2.5 Flash,False,False,
AL-04,GPT-4o,Gemini 2.5 Pro,False,False,
AL-04,GPT-4o,o3-mini,False,False,
AL-04,GPT-4o-mini,Gemini 2.5 Flash,False,False,
AL-04,GPT-4o-mini,Gemini 2.5 Pro,False,False,
AL-04,GPT-4o-mini,o3-mini,False,False,
AL-04,Gemini 2.5 Flash,Gemini 2.5 Pro,False,False,
AL-04,Gemini 2.5 Flash,o3-mini,False,False,
AL-04,Gemini 2.5 Pro,o3-mini,False,False,
AL-05,Claude 3.5 Haiku,Claude Sonnet 4,False,False,
AL-05,Claude 3.5 Haiku,GPT-4o,False,False,
AL-05,Claude 3.5 Haiku,GPT-4o-mini,False,False,
AL-05,Claude 3.5 Haiku,Gemini 2.5 Flash,False,False,
AL-05,Claude 3.5 Haiku,Gemini 2.5 Pro,False,False,
AL-05,Claude 3.5 Haiku,o3-mini,False,False,
AL-05,Claude Sonnet 4,GPT-4o,False,False,
AL-05,Claude Sonnet 4,GPT-4o-mini,False,False,
AL-05,Claude Sonnet 4,Gemini 2.5 Flash,False,False,
AL-05,Claude Sonnet 4,Gemini 2.5 Pro,False,False,
AL-05,Claude Sonnet 4,o3-mini,False,False,
AL-05,GPT-4o,GPT-4o-mini,False,False,
AL-05,GPT-4o,Gemini 2.5 Flash,False,False,
AL-05,GPT-4o,Gemini 2.5 Pro,False,False,
AL-05,GPT-4o,o3-mini,False,False,
AL-05,GPT-4o-mini,Gemini 2.5 Flash,False,False,
AL-05,GPT-4o-mini,Gemini 2.5 Pro,False,False,
AL-05,GPT-4o-mini,o3-mini,False,False,
AL-05,Gemini 2.5 Flash,Gemini 2.5 Pro,False,False,
AL-05,Gemini 2.5 Flash,o3-mini,False,False,
AL-05,Gemini 2.5 Pro,o3-mini,False,False,
CT-01,Claude 3.5 Haiku,Claude Sonnet 4,False,False,
CT-01,Claude 3.5 Haiku,GPT-4o,False,False,
CT-01,Claude 3.5 Haiku,GPT-4o-mini,False,False,
CT-01,Claude 3.5 Haiku,Gemini 2.5 Flash,False,False,
CT-01,Claude 3.5 Haiku,Gemini 2.5 Pro,False,False,
CT-01,Claude 3.5 Haiku,o3-mini,False,False,
CT-01,Claude Sonnet 4,GPT-4o,False,False,
CT-01,Claude Sonnet 4,GPT-4o-mini,False,False,
CT-01,Claude Sonnet 4,Gemini 2.5 Flash,False,False,
CT-01,Claude Sonnet 4,Gemini 2.5 Pro,False,False,
CT-01,Claude Sonnet 4,o3-mini,False,False,
CT-01,GPT-4o,GPT-4o-mini,False,False,
CT-01,GPT-4o,Gemini 2.5 Flash,False,False,
CT-01,GPT-4o,Gemini 2.5 Pro,False,False,
CT-01,GPT-4o,o3-mini,False,False,
CT-01,GPT-4o-mini,Gemini 2.5 Flash,False,False,
CT-01,GPT-4o-mini,Gemini 2.5 Pro,False,False,
CT-01,GPT-4o-mini,o3-mini,True,True,CWE-330
CT-01,Gemini 2.5 Flash,Gemini 2.5 Pro,False,False,
CT-01,Gemini 2.5 Flash,o3-mini,False,False,
CT-01,Gemini 2.5 Pro,o3-mini,False,False,
CT-02,Claude 3.5 Haiku,Claude Sonnet 4,False,False,
CT-02,Claude 3.5 Haiku,GPT-4o,False,False,
CT-02,Claude 3.5 Haiku,GPT-4o-mini,False,False,
CT-02,Claude 3.5 Haiku,Gemini 2.5 Flash,False,False,
CT-02,Claude 3.5 Haiku,Gemini 2.5 Pro,False,False,
CT-02,Claude 3.5 Haiku,o3-mini,False,False,
CT-02,Claude Sonnet 4,GPT-4o,True,True,CWE-330
CT-02,Claude Sonnet 4,GPT-4o-mini,True,True,CWE-330
CT-02,Claude Sonnet 4,Gemini 2.5 Flash,False,False,
CT-02,Claude Sonnet 4,Gemini 2.5 Pro,False,False,
CT-02,Claude Sonnet 4,o3-mini,True,True,CWE-330
CT-02,GPT-4o,GPT-4o-mini,True,True,CWE-330
CT-02,GPT-4o,Gemini 2.5 Flash,False,False,
CT-02,GPT-4o,Gemini 2.5 Pro,False,False,
CT-02,GPT-4o,o3-mini,True,True,CWE-330
CT-02,GPT-4o-mini,Gemini 2.5 Flash,False,False,
CT-02,GPT-4o-mini,Gemini 2.5 Pro,False,False,
CT-02,GPT-4o-mini,o3-mini,True,True,CWE-330
CT-02,Gemini 2.5 Flash,Gemini 2.5 Pro,False,False,
CT-02,Gemini 2.5 Flash,o3-mini,False,False,
CT-02,Gemini 2.5 Pro,o3-mini,False,False,
CT-03,Claude 3.5 Haiku,Claude Sonnet 4,False,False,
CT-03,Claude 3.5 Haiku,GPT-4o,False,False,
CT-03,Claude 3.5 Haiku,GPT-4o-mini,False,False,
CT-03,Claude 3.5 Haiku,Gemini 2.5 Flash,False,False,
CT-03,Claude 3.5 Haiku,Gemini 2.5 Pro,False,False,
CT-03,Claude 3.5 Haiku,o3-mini,False,False,
CT-03,Claude Sonnet 4,GPT-4o,False,False,
CT-03,Claude Sonnet 4,GPT-4o-mini,False,False,
CT-03,Claude Sonnet 4,Gemini 2.5 Flash,False,False,
CT-03,Claude Sonnet 4,Gemini 2.5 Pro,False,False,
CT-03,Claude Sonnet 4,o3-mini,False,False,
CT-03,GPT-4o,GPT-4o-mini,False,False,
CT-03,GPT-4o,Gemini 2.5 Flash,False,False,
CT-03,GPT-4o,Gemini 2.5 Pro,False,False,
CT-03,GPT-4o,o3-mini,False,False,
CT-03,GPT-4o-mini,Gemini 2.5 Flash,False,False,
CT-03,GPT-4o-mini,Gemini 2.5 Pro,False,False,
CT-03,GPT-4o-mini,o3-mini,False,False,
CT-03,Gemini 2.5 Flash,Gemini 2.5 Pro,False,False,
CT-03,Gemini 2.5 Flash,o3-mini,False,False,
CT-03,Gemini 2.5 Pro,o3-mini,False,False,
CT-04,Claude 3.5 Haiku,Claude Sonnet 4,False,False,
CT-04,Claude 3.5 Haiku,GPT-4o,False,False,
CT-04,Claude 3.5 Haiku,GPT-4o-mini,False,False,
CT-04,Claude 3.5 Haiku,Gemini 2.5 Flash,False,False,
CT-04,Claude 3.5 Haiku,Gemini 2.5 Pro,False,False,
CT-04,Claude 3.5 Haiku,o3-mini,False,False,
CT-04,Claude Sonnet 4,GPT-4o,False,True,CWE-330
CT-04,Claude Sonnet 4,GPT-4o-mini,False,True,CWE-330
CT-04,Claude Sonnet 4,Gemini 2.5 Flash,False,False,
CT-04,Claude Sonnet 4,Gemini 2.5 Pro,False,False,
CT-04,Claude Sonnet 4,o3-mini,False,True,CWE-330
CT-04,GPT-4o,GPT-4o-mini,True,True,CWE-330
CT-04,GPT-4o,Gemini 2.5 Flash,False,False,
CT-04,GPT-4o,Gemini 2.5 Pro,False,False,
CT-04,GPT-4o,o3-mini,True,True,CWE-330
CT-04,GPT-4o-mini,Gemini 2.5 Flash,False,False,
CT-04,GPT-4o-mini,Gemini 2.5 Pro,False,False,
CT-04,GPT-4o-mini,o3-mini,True,True,CWE-330
CT-04,Gemini 2.5 Flash,Gemini 2.5 Pro,False,False,
CT-04,Gemini 2.5 Flash,o3-mini,False,False,
CT-04,Gemini 2.5 Pro,o3-mini,False,False,
CT-05,Claude 3.5 Haiku,Claude Sonnet 4,False,False,
CT-05,Claude 3.5 Haiku,GPT-4o,False,False,
CT-05,Claude 3.5 Haiku,GPT-4o-mini,False,False,
CT-05,Claude 3.5 Haiku,Gemini 2.5 Flash,False,False,
CT-05,Claude 3.5 Haiku,Gemini 2.5 Pro,False,False,
CT-05,Claude 3.5 Haiku,o3-mini,False,False,
CT-05,Claude Sonnet 4,GPT-4o,False,False,
CT-05,Claude Sonnet 4,GPT-4o-mini,False,False,
CT-05,Claude Sonnet 4,Gemini 2.5 Flash,False,False,
CT-05,Claude Sonnet 4,Gemini 2.5 Pro,False,False,
CT-05,Claude Sonnet 4,o3-mini,False,False,
CT-05,GPT-4o,GPT-4o-mini,False,False,
CT-05,GPT-4o,Gemini 2.5 Flash,False,False,
CT-05,GPT-4o,Gemini 2.5 Pro,False,False,
CT-05,GPT-4o,o3-mini,False,False,
CT-05,GPT-4o-mini,Gemini 2.5 Flash,False,False,
CT-05,GPT-4o-mini,Gemini 2.5 Pro,False,False,
CT-05,GPT-4o-mini,o3-mini,False,False,
CT-05,Gemini 2.5 Flash,Gemini 2.5 Pro,False,False,
CT-05,Gemini 2.5 Flash,o3-mini,False,False,
CT-05,Gemini 2.5 Pro,o3-mini,False,False,
NM-01,Claude 3.5 Haiku,Claude Sonnet 4,False,False,
NM-01,Claude 3.5 Haiku,GPT-4o,False,False,
NM-01,Claude 3.5 Haiku,GPT-4o-mini,False,False,
NM-01,Claude 3.5 Haiku,Gemini 2.5 Flash,False,False,
NM-01,Claude 3.5 Haiku,Gemini 2.5 Pro,False,False,
NM-01,Claude 3.5 Haiku,o3-mini,False,False,
NM-01,Claude Sonnet 4,GPT-4o,False,False,
NM-01,Claude Sonnet 4,GPT-4o-mini,False,False,
NM-01,Claude Sonnet 4,Gemini 2.5 Flash,False,False,
NM-01,Claude Sonnet 4,Gemini 2.5 Pro,False,False,
NM-01,Claude Sonnet 4,o3-mini,False,False,
NM-01,GPT-4o,GPT-4o-mini,False,False,
NM-01,GPT-4o,Gemini 2.5 Flash,False,False,
NM-01,GPT-4o,Gemini 2.5 Pro,False,False,
NM-01,GPT-4o,o3-mini,False,False,
NM-01,GPT-4o-mini,Gemini 2.5 Flash,False,False,
NM-01,GPT-4o-mini,Gemini 2.5 Pro,False,False,
NM-01,GPT-4o-mini,o3-mini,False,False,
NM-01,Gemini 2.5 Flash,Gemini 2.5 Pro,False,False,
NM-01,Gemini 2.5 Flash,o3-mini,False,False,
NM-01,Gemini 2.5 Pro,o3-mini,False,False,
NM-02,Claude 3.5 Haiku,Claude Sonnet 4,False,False,
NM-02,Claude 3.5 Haiku,GPT-4o,False,False,
NM-02,Claude 3.5 Haiku,GPT-4o-mini,False,False,
NM-02,Claude 3.5 Haiku,Gemini 2.5 Flash,False,False,
NM-02,Claude 3.5 Haiku,Gemini 2.5 Pro,False,False,
NM-02,Claude 3.5 Haiku,o3-mini,False,False,
NM-02,Claude Sonnet 4,GPT-4o,False,False,
NM-02,Claude Sonnet 4,GPT-4o-mini,False,False,
NM-02,Claude Sonnet 4,Gemini 2.5 Flash,False,False,
NM-02,Claude Sonnet 4,Gemini 2.5 Pro,False,False,
NM-02,Claude Sonnet 4,o3-mini,False,False,
NM-02,GPT-4o,GPT-4o-mini,False,False,
NM-02,GPT-4o,Gemini 2.5 Flash,False,False,
NM-02,GPT-4o,Gemini 2.5 Pro,False,False,
NM-02,GPT-4o,o3-mini,False,False,
NM-02,GPT-4o-mini,Gemini 2.5 Flash,False,False,
NM-02,GPT-4o-mini,Gemini 2.5 Pro,False,False,
NM-02,GPT-4o-mini,o3-mini,False,False,
NM-02,Gemini 2.5 Flash,Gemini 2.5 Pro,False,False,
NM-02,Gemini 2.5 Flash,o3-mini,False,False,
NM-02,Gemini 2.5 Pro,o3-mini,False,False,
NM-03,Claude 3.5 Haiku,Claude Sonnet 4,False,False,
NM-03,Claude 3.5 Haiku,GPT-4o,False,False,
NM-03,Claude 3.5 Haiku,GPT-4o-mini,False,False,
NM-03,Claude 3.5 Haiku,Gemini 2.5 Flash,False,False,
NM-03,Claude 3.5 Haiku,Gemini 2.5 Pro,False,False,
NM-03,Claude 3.5 Haiku,o3-mini,False,False,
NM-03,Claude Sonnet 4,GPT-4o,False,False,
NM-03,Claude Sonnet 4,GPT-4o-mini,False,False,
NM-03,Claude Sonnet 4,Gemini 2.5 Flash,False,False,
NM-03,Claude Sonnet 4,Gemini 2.5 Pro,False,False,
NM-03,Claude Sonnet 4,o3-mini,False,False,
NM-03,GPT-4o,GPT-4o-mini,False,False,
NM-03,GPT-4o,Gemini 2.5 Flash,False,False,
NM-03,GPT-4o,Gemini 2.5 Pro,False,False,
NM-03,GPT-4o,o3-mini,False,False,
NM-03,GPT-4o-mini,Gemini 2.5 Flash,False,False,
NM-03,GPT-4o-mini,Gemini 2.5 Pro,False,False,
NM-03,GPT-4o-mini,o3-mini,False,False,
NM-03,Gemini 2.5 Flash,Gemini 2.5 Pro,False,False,
NM-03,Gemini 2.5 Flash,o3-mini,False,False,
NM-03,Gemini 2.5 Pro,o3-mini,False,False,
NM-04,Claude 3.5 Haiku,Claude Sonnet 4,False,False,
NM-04,Claude 3.5 Haiku,GPT-4o,False,False,
NM-04,Claude 3.5 Haiku,GPT-4o-mini,False,False,
NM-04,Claude 3.5 Haiku,Gemini 2.5 Flash,False,False,
NM-04,Claude 3.5 Haiku,Gemini 2.5 Pro,False,False,
NM-04,Claude 3.5 Haiku,o3-mini,False,False,
NM-04,Claude Sonnet 4,GPT-4o,False,False,
NM-04,Claude Sonnet 4,GPT-4o-mini,False,False,
NM-04,Claude Sonnet 4,Gemini 2.5 Flash,False,False,
NM-04,Claude Sonnet 4,Gemini 2.5 Pro,False,False,
NM-04,Claude Sonnet 4,o3-mini,False,False,
NM-04,GPT-4o,GPT-4o-mini,False,False,
NM-04,GPT-4o,Gemini 2.5 Flash,False,False,
NM-04,GPT-4o,Gemini 2.5 Pro,False,False,
NM-04,GPT-4o,o3-mini,False,False,
NM-04,GPT-4o-mini,Gemini 2.5 Flash,False,False,
NM-04,GPT-4o-mini,Gemini 2.5 Pro,False,False,
NM-04,GPT-4o-mini,o3-mini,False,False,
NM-04,Gemini 2.5 Flash,Gemini 2.5 Pro,False,False,
NM-04,Gemini 2.5 Flash,o3-mini,False,False,
NM-04,Gemini 2.5 Pro,o3-mini,False,False,
NM-05,Claude 3.5 Haiku,Claude Sonnet 4,False,False,
NM-05,Claude 3.5 Haiku,GPT-4o,False,False,
NM-05,Claude 3.5 Haiku,GPT-4o-mini,False,False,
NM-05,Claude 3.5 Haiku,Gemini 2.5 Flash,False,False,
NM-05,Claude 3.5 Haiku,Gemini 2.5 Pro,False,False,
NM-05,Claude 3.5 Haiku,o3-mini,False,False,
NM-05,Claude Sonnet 4,GPT-4o,False,False,
NM-05,Claude Sonnet 4,GPT-4o-mini,False,False,
NM-05,Claude Sonnet 4,Gemini 2.5 Flash,False,False,
NM-05,Claude Sonnet 4,Gemini 2.5 Pro,False,False,
NM-05,Claude Sonnet 4,o3-mini,False,False,
NM-05,GPT-4o,GPT-4o-mini,False,False,
NM-05,GPT-4o,Gemini 2.5 Flash,False,False,
NM-05,GPT-4o,Gemini 2.5 Pro,False,False,
NM-05,GPT-4o,o3-mini,False,False,
NM-05,GPT-4o-mini,Gemini 2.5 Flash,False,False,
NM-05,GPT-4o-mini,Gemini 2.5 Pro,False,False,
NM-05,GPT-4o-mini,o3-mini,False,False,
NM-05,Gemini 2.5 Flash,Gemini 2.5 Pro,False,False,
