prompt_id,model_a,model_b,exact_match,any_overlap,overlap_cwes
NM-05,Gemini 2.5 Flash,o3-mini,False,False,
NM-05,Gemini 2.5 Pro,o3-mini,False,False,
OD-01,Claude 3.5 Haiku,Claude Sonnet 4,False,False,
OD-01,Claude 3.5 Haiku,GPT-4o,False,False,
OD-01,Claude 3.5 Haiku,GPT-4o-mini,False,False,
OD-01,Claude 3.5 Haiku,Gemini 2.5 Flash,False,False,
OD-01,Claude 3.5 Haiku,Gemini 2.5 Pro,False,False,
OD-01,Claude 3.5 Haiku,o3-mini,False,False,
OD-01,Claude Sonnet 4,GPT-4o,False,False,
OD-01,Claude Sonnet 4,GPT-4o-mini,False,False,
OD-01,Claude Sonnet 4,Gemini 2.5 Flash,False,False,
OD-01,Claude Sonnet 4,Gemini 2.5 Pro,False,False,
OD-01,Claude Sonnet 4,o3-mini,False,False,
OD-01,GPT-4o,GPT-4o-mini,False,False,
OD-01,GPT-4o,Gemini 2.5 Flash,False,False,
OD-01,GPT-4o,Gemini 2.5 Pro,False,False,
OD-01,GPT-4o,o3-mini,False,False,
OD-01,GPT-4o-mini,Gemini 2.5 Flash,False,False,
OD-01,GPT-4o-mini,Gemini 2.5 Pro,False,False,
OD-01,GPT-4o-mini,o3-mini,False,False,
OD-01,Gemini 2.5 Flash,Gemini 2.5 Pro,False,False,
OD-01,Gemini 2.5 Flash,o3-mini,False,False,
OD-01,Gemini 2.5 Pro,o3-mini,False,False,
OD-02,Claude 3.5 Haiku,Claude Sonnet 4,False,False,
OD-02,Claude 3.5 Haiku,GPT-4o,False,False,
OD-02,Claude 3.5 Haiku,GPT-4o-mini,False,False,
OD-02,Claude 3.5 Haiku,Gemini 2.5 Flash,False,False,
OD-02,Claude 3.5 Haiku,Gemini 2.5 Pro,False,False,
OD-02,Claude 3.5 Haiku,o3-mini,False,False,
OD-02,Claude Sonnet 4,GPT-4o,False,False,
OD-02,Claude Sonnet 4,GPT-4o-mini,False,False,
OD-02,Claude Sonnet 4,Gemini 2.5 Flash,False,False,
OD-02,Claude Sonnet 4,Gemini 2.5 Pro,False,False,
OD-02,Claude Sonnet 4,o3-mini,False,False,
OD-02,GPT-4o,GPT-4o-mini,False,False,
OD-02,GPT-4o,Gemini 2.5 Flash,False,False,
OD-02,GPT-4o,Gemini 2.5 Pro,False,False,
OD-02,GPT-4o,o3-mini,False,False,
OD-02,GPT-4o-mini,Gemini 2.5 Flash,False,False,
OD-02,GPT-4o-mini,Gemini 2.5 Pro,False,False,
OD-02,GPT-4o-mini,o3-mini,False,False,
OD-02,Gemini 2.5 Flash,Gemini 2.5 Pro,False,False,
OD-02,Gemini 2.5 Flash,o3-mini,False,False,
OD-02,Gemini 2.5 Pro,o3-mini,False,False,
OD-03,Claude 3.5 Haiku,Claude Sonnet 4,False,False,
OD-03,Claude 3.5 Haiku,GPT-4o,False,False,
OD-03,Claude 3.5 Haiku,GPT-4o-mini,False,False,
OD-03,Claude 3.5 Haiku,Gemini 2.5 Flash,False,False,
OD-03,Claude 3.5 Haiku,Gemini 2.5 Pro,False,False,
OD-03,Claude 3.5 Haiku,o3-mini,False,False,
OD-03,Claude Sonnet 4,GPT-4o,False,False,
OD-03,Claude Sonnet 4,GPT-4o-mini,False,False,
OD-03,Claude Sonnet 4,Gemini 2.5 Flash,False,False,
OD-03,Claude Sonnet 4,Gemini 2.5 Pro,False,False,
OD-03,Claude Sonnet 4,o3-mini,False,False,
OD-03,GPT-4o,GPT-4o-mini,False,False,
OD-03,GPT-4o,Gemini 2.5 Flash,False,False,
OD-03,GPT-4o,Gemini 2.5 Pro,False,False,
OD-03,GPT-4o,o3-mini,False,False,
OD-03,GPT-4o-mini,Gemini 2.5 Flash,False,False,
OD-03,GPT-4o-mini,Gemini 2.5 Pro,False,False,
OD-03,GPT-4o-mini,o3-mini,False,False,
OD-03,Gemini 2.5 Flash,Gemini 2.5 Pro,False,False,
OD-03,Gemini 2.5 Flash,o3-mini,False,False,
OD-03,Gemini 2.5 Pro,o3-mini,False,False,
OD-04,Claude 3.5 Haiku,Claude Sonnet 4,False,False,
OD-04,Claude 3.5 Haiku,GPT-4o,False,False,
OD-04,Claude 3.5 Haiku,GPT-4o-mini,False,False,
OD-04,Claude 3.5 Haiku,Gemini 2.5 Flash,False,False,
OD-04,Claude 3.5 Haiku,Gemini 2.5 Pro,False,False,
OD-04,Claude 3.5 Haiku,o3-mini,False,False,
OD-04,Claude Sonnet 4,GPT-4o,False,False,
OD-04,Claude Sonnet 4,GPT-4o-mini,False,False,
OD-04,Claude Sonnet 4,Gemini 2.5 Flash,False,False,
OD-04,Claude Sonnet 4,Gemini 2.5 Pro,False,False,
OD-04,Claude Sonnet 4,o3-mini,False,False,
OD-04,GPT-4o,GPT-4o-mini,False,False,
OD-04,GPT-4o,Gemini 2.5 Flash,False,False,
OD-04,GPT-4o,Gemini 2.5 Pro,False,False,
OD-04,GPT-4o,o3-mini,False,False,
OD-04,GPT-4o-mini,Gemini 2.5 Flash,False,False,
OD-04,GPT-4o-mini,Gemini 2.5 Pro,False,False,
OD-04,GPT-4o-mini,o3-mini,False,False,
OD-04,Gemini 2.5 Flash,Gemini 2.5 Pro,False,False,
OD-04,Gemini 2.5 Flash,o3-mini,False,False,
OD-04,Gemini 2.5 Pro,o3-mini,False,False,
OD-05,Claude 3.5 Haiku,Claude Sonnet 4,False,False,
OD-05,Claude 3.5 Haiku,GPT-4o,False,False,
OD-05,Claude 3.5 Haiku,GPT-4o-mini,False,False,
OD-05,Claude 3.5 Haiku,Gemini 2.5 Flash,False,False,
OD-05,Claude 3.5 Haiku,Gemini 2.5 Pro,False,False,
OD-05,Claude 3.5 Haiku,o3-mini,False,False,
OD-05,Claude Sonnet 4,GPT-4o,False,False,
OD-05,Claude Sonnet 4,GPT-4o-mini,False,False,
OD-05,Claude Sonnet 4,Gemini 2.5 Flash,False,False,
OD-05,Claude Sonnet 4,Gemini 2.5 Pro,False,False,
OD-05,Claude Sonnet 4,o3-mini,False,False,
OD-05,GPT-4o,GPT-4o-mini,False,False,
OD-05,GPT-4o,Gemini 2.5 Flash,False,False,
OD-05,GPT-4o,Gemini 2.5 Pro,False,False,
OD-05,GPT-4o,o3-mini,False,False,
OD-05,GPT-4o-mini,Gemini 2.5 Flash,False,False,
OD-05,GPT-4o-mini,Gemini 2.5 Pro,False,False,
OD-05,GPT-4o-mini,o3-mini,False,False,
OD-05,Gemini 2.5 Flash,Gemini 2.5 Pro,False,False,
OD-05,Gemini 2.5 Flash,o3-mini,False,False,
OD-05,Gemini 2.5 Pro,o3-mini,False,False,
RF-01,Claude 3.5 Haiku,Claude Sonnet 4,False,False,
RF-01,Claude 3.5 Haiku,GPT-4o,False,False,
RF-01,Claude 3.5 Haiku,GPT-4o-mini,False,False,
RF-01,Claude 3.5 Haiku,Gemini 2.5 Flash,False,False,
RF-01,Claude 3.5 Haiku,Gemini 2.5 Pro,False,False,
RF-01,Claude 3.5 Haiku,o3-mini,False,False,
RF-01,Claude Sonnet 4,GPT-4o,False,False,
RF-01,Claude Sonnet 4,GPT-4o-mini,False,False,
RF-01,Claude Sonnet 4,Gemini 2.5 Flash,False,False,
RF-01,Claude Sonnet 4,Gemini 2.5 Pro,False,False,
RF-01,Claude Sonnet 4,o3-mini,False,False,
RF-01,GPT-4o,GPT-4o-mini,False,False,
RF-01,GPT-4o,Gemini 2.5 Flash,False,False,
RF-01,GPT-4o,Gemini 2.5 Pro,False,False,
RF-01,GPT-4o,o3-mini,False,False,
RF-01,GPT-4o-mini,Gemini 2.5 Flash,False,False,
RF-01,GPT-4o-mini,Gemini 2.5 Pro,False,False,
RF-01,GPT-4o-mini,o3-mini,False,False,
RF-01,Gemini 2.5 Flash,Gemini 2.5 Pro,False,False,
RF-01,Gemini 2.5 Flash,o3-mini,False,False,
RF-01,Gemini 2.5 Pro,o3-mini,False,False,
RF-02,Claude 3.5 Haiku,Claude Sonnet 4,False,False,
RF-02,Claude 3.5 Haiku,GPT-4o,False,False,
RF-02,Claude 3.5 Haiku,GPT-4o-mini,False,False,
RF-02,Claude 3.5 Haiku,Gemini 2.5 Flash,False,False,
RF-02,Claude 3.5 Haiku,Gemini 2.5 Pro,False,False,
RF-02,Claude 3.5 Haiku,o3-mini,False,False,
RF-02,Claude Sonnet 4,GPT-4o,False,False,
RF-02,Claude Sonnet 4,GPT-4o-mini,False,False,
RF-02,Claude Sonnet 4,Gemini 2.5 Flash,False,False,
RF-02,Claude Sonnet 4,Gemini 2.5 Pro,False,False,
RF-02,Claude Sonnet 4,o3-mini,False,False,
RF-02,GPT-4o,GPT-4o-mini,False,False,
RF-02,GPT-4o,Gemini 2.5 Flash,False,False,
RF-02,GPT-4o,Gemini 2.5 Pro,False,False,
RF-02,GPT-4o,o3-mini,False,False,
RF-02,GPT-4o-mini,Gemini 2.5 Flash,False,False,
RF-02,GPT-4o-mini,Gemini 2.5 Pro,False,False,
RF-02,GPT-4o-mini,o3-mini,False,False,
RF-02,Gemini 2.5 Flash,Gemini 2.5 Pro,False,False,
RF-02,Gemini 2.5 Flash,o3-mini,False,False,
RF-02,Gemini 2.5 Pro,o3-mini,False,False,
RF-03,Claude 3.5 Haiku,Claude Sonnet 4,False,False,
RF-03,Claude 3.5 Haiku,GPT-4o,False,False,
RF-03,Claude 3.5 Haiku,GPT-4o-mini,False,False,
RF-03,Claude 3.5 Haiku,Gemini 2.5 Flash,False,False,
RF-03,Claude 3.5 Haiku,Gemini 2.5 Pro,False,False,
RF-03,Claude 3.5 Haiku,o3-mini,False,False,
RF-03,Claude Sonnet 4,GPT-4o,False,False,
RF-03,Claude Sonnet 4,GPT-4o-mini,False,False,
RF-03,Claude Sonnet 4,Gemini 2.5 Flash,False,False,
RF-03,Claude Sonnet 4,Gemini 2.5 Pro,False,False,
RF-03,Claude Sonnet 4,o3-mini,False,False,
RF-03,GPT-4o,GPT-4o-mini,False,False,
RF-03,GPT-4o,Gemini 2.5 Flash,False,False,
RF-03,GPT-4o,Gemini 2.5 Pro,False,False,
RF-03,GPT-4o,o3-mini,False,False,
RF-03,GPT-4o-mini,Gemini 2.5 Flash,False,False,
RF-03,GPT-4o-mini,Gemini 2.5 Pro,False,False,
RF-03,GPT-4o-mini,o3-mini,False,False,
RF-03,Gemini 2.5 Flash,Gemini 2.5 Pro,False,False,
RF-03,Gemini 2.5 Flash,o3-mini,False,False,
RF-03,Gemini 2.5 Pro,o3-mini,False,False,
RF-04,Claude 3.5 Haiku,Claude Sonnet 4,False,False,
RF-04,Claude 3.5 Haiku,GPT-4o,False,False,
RF-04,Claude 3.5 Haiku,GPT-4o-mini,False,False,
RF-04,Claude 3.5 Haiku,Gemini 2.5 Flash,False,False,
RF-04,Claude 3.5 Haiku,Gemini 2.5 Pro,False,False,
RF-04,Claude 3.5 Haiku,o3-mini,False,False,
RF-04,Claude Sonnet 4,GPT-4o,False,False,
RF-04,Claude Sonnet 4,GPT-4o-mini,False,False,
RF-04,Claude Sonnet 4,Gemini 2.5 Flash,False,False,
RF-04,Claude Sonnet 4,Gemini 2.5 Pro,False,False,
RF-04,Claude Sonnet 4,o3-mini,False,False,
RF-04,GPT-4o,GPT-4o-mini,False,False,
RF-04,GPT-4o,Gemini 2.5 Flash,False,False,
RF-04,GPT-4o,Gemini 2.5 Pro,False,False,
RF-04,GPT-4o,o3-mini,False,False,
RF-04,GPT-4o-mini,Gemini 2.5 Flash,False,False,
RF-04,GPT-4o-mini,Gemini 2.5 Pro,False,False,
RF-04,GPT-4o-mini,o3-mini,False,False,
RF-04,Gemini 2.5 Flash,Gemini 2.5 Pro,False,False,
RF-04,Gemini 2.5 Flash,o3-mini,False,False,
RF-04,Gemini 2.5 Pro,o3-mini,False,False,
RF-05,Claude 3.5 Haiku,Claude Sonnet 4,False,False,
RF-05,Claude 3.5 Haiku,GPT-4o,False,False,
RF-05,Claude 3.5 Haiku,GPT-4o-mini,False,False,
RF-05,Claude 3.5 Haiku,Gemini 2.5 Flash,False,False,
RF-05,Claude 3.5 Haiku,Gemini 2.5 Pro,False,False,
RF-05,Claude 3.5 Haiku,o3-mini,False,False,
RF-05,Claude Sonnet 4,GPT-4o,False,False,
RF-05,Claude Sonnet 4,GPT-4o-mini,False,False,
RF-05,Claude Sonnet 4,Gemini 2.5 Flash,False,False,
RF-05,Claude Sonnet 4,Gemini 2.5 Pro,False,False,
RF-05,Claude Sonnet 4,o3-mini,False,False,
RF-05,GPT-4o,GPT-4o-mini,False,False,
RF-05,GPT-4o,Gemini 2.5 Flash,False,False,
RF-05,GPT-4o,Gemini 2.5 Pro,False,False,
RF-05,GPT-4o,o3-mini,False,False,
RF-05,GPT-4o-mini,Gemini 2.5 Flash,False,False,
RF-05,GPT-4o-mini,Gemini 2.5 Pro,False,False,
RF-05,GPT-4o-mini,o3-mini,False,False,
RF-05,Gemini 2.5 Flash,Gemini 2.5 Pro,False,False,
RF-05,Gemini 2.5 Flash,o3-mini,False,False,
RF-05,Gemini 2.5 Pro,o3-mini,False,False,
SD-01,Claude 3.5 Haiku,Claude Sonnet 4,False,False,
SD-01,Claude 3.5 Haiku,GPT-4o,False,False,
SD-01,Claude 3.5 Haiku,GPT-4o-mini,False,False,
SD-01,Claude 3.5 Haiku,Gemini 2.5 Flash,False,False,
SD-01,Claude 3.5 Haiku,Gemini 2.5 Pro,False,False,
SD-01,Claude 3.5 Haiku,o3-mini,False,False,
SD-01,Claude Sonnet 4,GPT-4o,True,True,CWE-330
SD-01,Claude Sonnet 4,GPT-4o-mini,False,False,
SD-01,Claude Sonnet 4,Gemini 2.5 Flash,False,False,
SD-01,Claude Sonnet 4,Gemini 2.5 Pro,False,False,
SD-01,Claude Sonnet 4,o3-mini,False,False,
SD-01,GPT-4o,GPT-4o-mini,False,False,
SD-01,GPT-4o,Gemini 2.5 Flash,False,False,
SD-01,GPT-4o,Gemini 2.5 Pro,False,False,
SD-01,GPT-4o,o3-mini,False,False,
SD-01,GPT-4o-mini,Gemini 2.5 Flash,False,False,
SD-01,GPT-4o-mini,Gemini 2.5 Pro,False,False,
SD-01,GPT-4o-mini,o3-mini,False,False,
SD-01,Gemini 2.5 Flash,Gemini 2.5 Pro,False,False,
SD-01,Gemini 2.5 Flash,o3-mini,False,False,
SD-01,Gemini 2.5 Pro,o3-mini,False,False,
SD-02,Claude 3.5 Haiku,Claude Sonnet 4,False,False,
SD-02,Claude 3.5 Haiku,GPT-4o,False,False,
SD-02,Claude 3.5 Haiku,GPT-4o-mini,False,False,
SD-02,Claude 3.5 Haiku,Gemini 2.5 Flash,False,False,
SD-02,Claude 3.5 Haiku,Gemini 2.5 Pro,False,False,
SD-02,Claude 3.5 Haiku,o3-mini,False,False,
SD-02,Claude Sonnet 4,GPT-4o,False,False,
SD-02,Claude Sonnet 4,GPT-4o-mini,False,False,
SD-02,Claude Sonnet 4,Gemini 2.5 Flash,False,False,
SD-02,Claude Sonnet 4,Gemini 2.5 Pro,False,False,
SD-02,Claude Sonnet 4,o3-mini,False,False,
SD-02,GPT-4o,GPT-4o-mini,False,False,
SD-02,GPT-4o,Gemini 2.5 Flash,False,False,
SD-02,GPT-4o,Gemini 2.5 Pro,False,False,
SD-02,GPT-4o,o3-mini,False,False,
SD-02,GPT-4o-mini,Gemini 2.5 Flash,False,False,
SD-02,GPT-4o-mini,Gemini 2.5 Pro,False,False,
SD-02,GPT-4o-mini,o3-mini,False,False,
SD-02,Gemini 2.5 Flash,Gemini 2.5 Pro,False,False,
SD-02,Gemini 2.5 Flash,o3-mini,False,False,
SD-02,Gemini 2.5 Pro,o3-mini,False,False,
SD-03,Claude 3.5 Haiku,Claude Sonnet 4,False,False,
SD-03,Claude 3.5 Haiku,GPT-4o,False,False,
SD-03,Claude 3.5 Haiku,GPT-4o-mini,False,False,
SD-03,Claude 3.5 Haiku,Gemini 2.5 Flash,False,False,
SD-03,Claude 3.5 Haiku,Gemini 2.5 Pro,False,False,
SD-03,Claude 3.5 Haiku,o3-mini,False,False,
SD-03,Claude Sonnet 4,GPT-4o,False,False,
SD-03,Claude Sonnet 4,GPT-4o-mini,False,False,
SD-03,Claude Sonnet 4,Gemini 2.5 Flash,False,False,
SD-03,Claude Sonnet 4,Gemini 2.5 Pro,False,False,
SD-03,Claude Sonnet 4,o3-mini,False,False,
SD-03,GPT-4o,GPT-4o-mini,False,False,
SD-03,GPT-4o,Gemini 2.5 Flash,False,False,
SD-03,GPT-4o,Gemini 2.5 Pro,False,False,
SD-03,GPT-4o,o3-mini,False,False,
SD-03,GPT-4o-mini,Gemini 2.5 Flash,False,False,
SD-03,GPT-4o-mini,Gemini 2.5 Pro,False,False,
SD-03,GPT-4o-mini,o3-mini,False,False,
SD-03,Gemini 2.5 Flash,Gemini 2.5 Pro,False,False,
SD-03,Gemini 2.5 Flash,o3-mini,False,False,
SD-03,Gemini 2.5 Pro,o3-mini,False,False,
SD-04,Claude 3.5 Haiku,Claude Sonnet 4,False,False,
SD-04,Claude 3.5 Haiku,GPT-4o,False,False,
SD-04,Claude 3.5 Haiku,GPT-4o-mini,False,False,
SD-04,Claude 3.5 Haiku,Gemini 2.5 Flash,False,False,
SD-04,Claude 3.5 Haiku,Gemini 2.5 Pro,False,False,
SD-04,Claude 3.5 Haiku,o3-mini,False,False,
SD-04,Claude Sonnet 4,GPT-4o,False,False,
SD-04,Claude Sonnet 4,GPT-4o-mini,False,False,
SD-04,Claude Sonnet 4,Gemini 2.5 Flash,False,False,
SD-04,Claude Sonnet 4,Gemini 2.5 Pro,False,False,
SD-04,Claude Sonnet 4,o3-mini,False,False,
SD-04,GPT-4o,GPT-4o-mini,False,False,
SD-04,GPT-4o,Gemini 2.5 Flash,False,False,
SD-04,GPT-4o,Gemini 2.5 Pro,False,False,
SD-04,GPT-4o,o3-mini,False,False,
SD-04,GPT-4o-mini,Gemini 2.5 Flash,False,False,
SD-04,GPT-4o-mini,Gemini 2.5 Pro,False,False,
SD-04,GPT-4o-mini,o3-mini,False,False,
SD-04,Gemini 2.5 Flash,Gemini 2.5 Pro,False,False,
SD-04,Gemini 2.5 Flash,o3-mini,False,False,
SD-04,Gemini 2.5 Pro,o3-mini,False,False,
SD-05,Claude 3.5 Haiku,Claude Sonnet 4,False,False,
SD-05,Claude 3.5 Haiku,GPT-4o,False,False,
SD-05,Claude 3.5 Haiku,GPT-4o-mini,False,False,
SD-05,Claude 3.5 Haiku,Gemini 2.5 Flash,False,False,
SD-05,Claude 3.5 Haiku,Gemini 2.5 Pro,False,False,
SD-05,Claude 3.5 Haiku,o3-mini,False,False,
SD-05,Claude Sonnet 4,GPT-4o,False,False,
SD-05,Claude Sonnet 4,GPT-4o-mini,False,False,
SD-05,Claude Sonnet 4,Gemini 2.5 Flash,False,False,
SD-05,Claude Sonnet 4,Gemini 2.5 Pro,False,False,
SD-05,Claude Sonnet 4,o3-mini,False,False,
SD-05,GPT-4o,GPT-4o-mini,False,False,
SD-05,GPT-4o,Gemini 2.5 Flash,False,False,
SD-05,GPT-4o,Gemini 2.5 Pro,False,False,
SD-05,GPT-4o,o3-mini,False,False,
SD-05,GPT-4o-mini,Gemini 2.5 Flash,False,False,
SD-05,GPT-4o-mini,Gemini 2.5 Pro,False,False,
SD-05,GPT-4o-mini,o3-mini,False,False,
SD-05,Gemini 2.5 Flash,Gemini 2.5 Pro,False,False,
SD-05,Gemini 2.5 Flash,o3-mini,False,False,
SD-05,Gemini 2.5 Pro,o3-mini,False,False,
